"ginc" "height" "age" "length" "mar" "sex" "german" "alevel"
2187 186 40 6.4 1 0 1 0
968 171 37 1.3 0 1 1 0
2337 152 45 11.1 1 1 1 0
1529 160 58 37 1 1 1 1
1863 158 40 2.5 1 1 1 0
3312 175 42 1.4 1 0 0 0
1402 176 41 3.6 0 0 1 0
1201 170 35 3.1 0 1 1 0
3263 188 51 28.5 1 0 1 1
7193 183 45 18.2 1 0 1 1
1077 183 29 8.3 1 0 1 1
2205 172 38 1.3 1 0 1 0
2031 172 48 8.9 1 0 1 1
1410 158 49 0.9 0 1 1 0
1540 167 43 21.9 1 1 1 0
2529 169 39 4.8 0 0 1 0
1793 178 33 1.7 1 0 0 0
4001 180 57 40 1 0 1 0
7721 182 65 34.6 1 0 1 1
1267 158 34 0.7 1 1 0 0
2478 182 26 5 0 0 1 0
2177 185 59 29.6 1 0 1 0
1009 178 37 18.8 0 1 1 0
2527 171 50 4.8 1 1 1 0
2154 179 29 3.1 0 0 1 0
1176 170 42 2 0 1 1 0
1595 183 27 0.1 0 0 1 1
2328 178 29 3.8 1 0 1 0
1281 157 41 4.8 1 1 1 0
2930 174 35 1.4 1 0 1 0
3373 170 49 29 1 1 1 0
1242 175 47 19.2 1 0 1 0
1047 174 36 0.6 1 1 1 0
2733 165 34 8.2 1 1 1 0
907 170 43 1.3 1 1 1 0
4582 189 35 5.3 1 0 1 1
5470 178 48 11.8 1 0 1 0
3519 183 42 0.3 1 0 1 1
1769 175 45 27.8 1 0 1 0
2547 182 41 3.3 0 0 1 0
918 168 21 1 0 1 1 0
2027 182 42 11 1 0 1 0
2528 177 43 21.2 1 0 1 0
1774 156 46 11.9 1 1 1 0
2821 170 37 13.6 1 0 1 0
6448 188 45 10.9 1 0 1 1
1553 176 23 1.8 0 0 1 0
3476 194 43 18.3 1 0 1 1
2101 180 51 25.3 1 0 1 0
2635 174 36 16 0 1 1 0
1927 166 61 8.1 1 1 1 0
2722 175 36 17.6 1 0 0 0
1260 163 40 19 1 1 1 0
6889 183 42 10.2 1 0 1 0
2122 181 32 2.3 1 0 0 1
2514 176 47 15.8 1 0 1 0
1761 168 53 15 1 1 1 0
2256 178 27 1.8 0 0 1 1
2056 180 40 7.5 1 0 1 0
2222 178 42 2.6 1 0 1 0
3282 172 40 12.3 0 1 1 1
5221 175 38 3.3 1 0 1 1
2230 171 38 0.7 0 1 1 0
2028 163 23 1 0 1 1 1
5400 184 33 14 1 0 1 1
2084 168 53 18.8 1 1 1 0
1627 168 57 19.3 1 1 1 0
3176 175 52 19.7 1 0 1 0
2250 162 33 12 0 1 1 1
2649 176 44 19 1 0 1 0
3189 182 41 20.3 1 0 1 1
1166 189 40 19.1 0 0 1 0
2487 175 53 2.2 0 1 1 0
1762 153 26 4.5 0 1 0 0
10050 178 51 8.8 1 0 1 0
3148 169 34 0.7 1 0 1 0
2212 164 43 11.8 1 1 1 1
2689 180 38 5.7 1 0 1 1
